,year,sea_level,datum_correction
172,1997,-0.04800000000000004,0.0
173,1998,-0.028000000000000025,0.0
174,1999,-0.07900000000000018,0.0
175,2000,-0.07900000000000018,0.0
176,2001,-0.08300000000000018,0.0
177,2002,-0.08300000000000018,0.0
178,2003,-0.06199999999999983,0.0
179,2004,-0.06099999999999994,0.0
180,2005,-0.0019999999999997797,0.0
181,2006,-0.017999999999999794,0.0
182,2007,-0.053999999999999826,0.0
183,2008,-0.03299999999999992,0.0
184,2009,-0.0009999999999998899,0.0
185,2010,0.06599999999999984,0.0
186,2011,0.0259999999999998,0.0
187,2012,0.008000000000000007,0.0
188,2013,-0.0009999999999998899,0.0
189,2014,0.0009999999999998899,0.0
190,2015,-0.028000000000000025,0.0
191,2016,0.009999999999999787,0.0
192,2017,0.015000000000000124,0.0
193,2018,0.021087214611872147,0.0
194,2019,0.03882821038251366,0.0
195,2020,0.03134341032608696,0.0
196,2021,0.026673229548229548,0.0
